iter,train_loss,val_loss,val_perplexity,lr,elapsed_min,tokens_seen,tokens_per_sec,peak_vram_mb,param_count,approx_train_pflops
0,11.025450439453126,11.028180770874023,61585.44079611883,7.499999999999999e-07,0.10631159941355388,0,0.0,7105.22607421875,124031232,0.0
1000,5.496032238006592,5.524312696456909,250.713962195853,0.0002972619024574603,3.756280736128489,16384000,72696.02190280115,17728.8076171875,124031232,12.192766230528
2000,4.906899280548096,5.014670820236206,150.60655197600454,0.0002809086200392825,7.5315123518308,32768000,72513.1033212176,17728.8759765625,124031232,24.385532461056
3000,4.592577705383301,4.681373529434204,107.91819964336243,0.0002514567786517598,11.303717994689942,49152000,72471.73013205294,17728.8759765625,124031232,36.578298691584
4000,4.374754362106323,4.459740915298462,86.46510440832968,0.00021203238911202528,15.074080085754394,65536000,72459.92196226303,17728.8759765625,124031232,48.771064922112
5000,4.2538402652740475,4.351704368591308,77.61062738045328,0.00016681994591529538,18.84903945128123,81920000,72435.1676838645,17729.6953125,124031232,60.96383115264
6000,4.152633280754089,4.277369031906128,72.05062751936866,0.00012061828607289076,22.617600770791373,98304000,72439.15995351056,17729.6953125,124031232,73.156597383168
7000,4.0925565481185915,4.202397451400757,66.84640008089256,7.83312417947067e-05,26.389391346772513,114688000,72433.14715177937,17729.6953125,124031232,85.349363613696
8000,4.035354208946228,4.161583261489868,64.17304492124987,4.4447149008499e-05,30.155288569132487,131072000,72442.79318784109,17729.6953125,124031232,97.542129844224
9000,4.009055886268616,4.143165049552917,63.00191038813158,2.2562456546947456e-05,33.934820640087125,147456000,72421.18725380392,17729.6953125,124031232,109.734896074752
10000,4.004664597511291,4.118161678314209,61.44618052817407,1.4999999999999999e-05,37.698375550905865,163840000,72434.59769186396,17729.8388671875,124031232,121.92766230528
