model,source,params,params_m,checkpoint_mb,weight_memory_mb,context_length,eval_loss,perplexity,bits_per_byte,eval_tokens,eval_bytes,generation_ms_per_token,generation_tokens_per_sec,peak_vram_mb,rank_by_bpb,rank_by_ppl_tokenizer_specific,rank_by_latency,rank_by_vram
SmolLM2-135M,HuggingFaceTB/SmolLM2-135M,134515008,134.515008,,256.5670166015625,512,3.1487286119364137,23.306414239522475,1.005235112369946,68482,309470,59.593589305877686,16.78032841531447,3097.70458984375,1,1,5,4
Pythia-160M Deduped,EleutherAI/pythia-160m-deduped,162322944,162.322944,,309.6064453125,512,3.4230044831679294,30.661398426036524,1.072675646815793,67221,309470,21.62224531173706,46.24866592634469,3054.39404296875,2,2,4,3
GPT-2 Small,openai-community/gpt2,124439808,124.439808,,237.35009765625,512,3.444259300226518,31.320076079627043,1.0744551364906552,66917,309470,14.890077114105225,67.15881941623458,3099.0078125,3,3,3,5
Pythia-70M Deduped,EleutherAI/pythia-70m-deduped,70426624,70.426624,,134.328125,512,3.8890426110668725,48.864082190814834,1.2187192037971044,67221,309470,11.544628143310547,86.6203733534235,2746.61767578125,4,4,2,2
Logos Exp18,local_checkpoint,124031232,124.031232,473.2041759490967,473.1416015625,512,4.1217965601499476,61.66993655064014,1.285816513678678,66917,309470,9.151637554168701,109.27006167814041,1372.46630859375,5,5,1,1
