iter,train_loss,val_loss,val_perplexity,lr,elapsed_min,tokens_seen,tokens_per_sec,peak_vram_mb,param_count,approx_train_pflops
0,10.88565351486206,10.884944610595703,53366.82678179651,2e-06,0.05684651533762614,0,0.0,6434.833984375,19242400,0.0
300,6.465741090774536,6.546627111434937,696.8896741025537,0.0002980564857348879,0.5248672604560852,4915200,156077.5574548417,11181.994140625,19242400,0.56748146688
600,5.956515045166015,6.044906215667725,421.95818256063706,0.00028282500954692467,0.9900522788365682,9830400,165486.21068023995,11181.994140625,19242400,1.13496293376
900,5.642520112991333,5.786293773651123,325.80328326056303,0.0002540126239566681,1.4396875301996868,14745600,170703.70816222375,11181.994140625,19242400,1.70244440064
1200,5.451387252807617,5.6143810844421385,274.3435311603731,0.00021474159801304816,1.9060067454973857,19660800,171919.64339795115,11181.994140625,19242400,2.26992586752
1500,5.314313077926636,5.489161510467529,242.05416186328546,0.00016926755672980737,2.3732930262883505,24576000,172587.2007640722,11181.994140625,19242400,2.8374073344
1800,5.218487358093261,5.4122013759613035,224.12442714530206,0.0001225183180824361,2.837255871295929,29491200,173237.8122722841,11181.994140625,19242400,3.40488880128
2100,5.144285335540771,5.351861114501953,211.00062899739962,7.955988746755417e-05,3.296343211332957,34406400,173962.46787303302,11181.994140625,19242400,3.97237026816
2400,5.122082977294922,5.3487653636932375,210.34843366752017,4.504747741101393e-05,3.7450878381729127,39321600,174991.89026223894,11181.994140625,19242400,4.53985173504
2700,5.098637323379517,5.309605016708374,202.27031921131123,2.2721043057659565e-05,4.187314184506734,44236800,176074.67878287515,11181.994140625,19242400,5.10733320192
3000,5.083257694244384,5.293169746398926,198.97312122862277,1.4999999999999999e-05,4.660812803109487,49152000,175763.33455260555,11181.994140625,19242400,5.6748146688
